"PLS","variable","initial","nac","nfn","nfs","ssp1","ssp3"
"17","urban",0.0829126723110676,0.0890122838318348,0.0942705683410168,0.083964329212904,0.0966683514416218,0.16658253595233
"17","farmland_low",0.0178781762951985,0.0703769120154902,0.0321386501891539,0.0685680620372295,0.013503281166777,0.0316338553093374
"17","farmland_medium",0.235150600434281,0.243059054017067,0.251977109350264,0.238263509614626,0.229850240517408,0.149082960284431
"17","farmland_high",0.321302387310425,0.330641090869904,0.355586409568787,0.32521453499794,0.368248373270035,0.332071351265768
"17","forest_lowmedium",0.0282264852430671,0.00900218728929758,0.00862359107122757,0.0222530716564506,0.0065202759578824,0.0119888945482671
"17","forest_high",0.0316759198904037,0.0342419669032097,0.0346205607056618,0.0359246172010899,0.0459784604609013,0.0375652015209198
"17","landscape_div",0.0765606588684022,0.0797156305343378,0.024061921692919,0.0375231371726841,0.0207386838737875,0.0605333998828428
"18","urban",0.0790265258401632,0.0794025175273418,0.0796151980757713,0.0818635504692793,0.0824864022433758,0.0817078370600939
"18","farmland_low",0.0954979793168604,0.10308996430831,0.104320482467301,0.109584360179724,0.0742867554072291,0.0979666098719463
"18","farmland_medium",0.109645122196525,0.071016772184521,0.0825927461264655,0.0547693922417238,0.049763770752179,0.0736676985397935
"18","farmland_high",0.0475420032162219,0.0468317981576547,0.0448568952269852,0.054397199768573,0.0490459697321057,0.0547655960544944
"18","forest_lowmedium",0.319444447755814,0.226950600743294,0.281249046325684,0.199017100036144,0.345722064375877,0.341840624809265
"18","forest_high",0.0403184145689011,0.164790511131287,0.0875869691371918,0.162435814738274,0.06585543602705,0.0546250715851784
"18","landscape_div",0.164517061668448,0.174718198541086,0.19091620342806,0.197839759173803,0.156883297524473,0.127555985818617
"19","urban",0.0584540963172913,0.062905827537179,0.0615927893668413,0.0663203224539757,0.0625371001660824,0.0653400421142578
"19","farmland_low",0.141079446300864,0.151934481225908,0.166623695753515,0.156491134315729,0.0417743377038278,0.141337255947292
"19","farmland_medium",0.140527855604887,0.0461661159060895,0.065849665668793,0.0695129763116711,0.0899849546258338,0.0991162463324144
"19","farmland_high",0.0526593486138154,0.089583243369816,0.0905875123717124,0.082103733351687,0.0611940838716691,0.055813034021412
"19","forest_lowmedium",0.25999616086483,0.217862084507942,0.172223590314388,0.173335775732994,0.324805587530136,0.326577302068472
"19","forest_high",0.131372570991516,0.186223313212395,0.236808180809021,0.228579223155975,0.153916031122208,0.15007284283638
"19","landscape_div",0.194916931475746,0.196556730638804,0.167624963331036,0.188891347941535,0.208601890888531,0.106292979980935
"2","urban",0.0199886285699904,0.0215432997792959,0.027824170421809,0.0274777025915682,0.0238797483034432,0.0303738322108984
"2","farmland_low",0.0270246253057849,0.0516683837631717,0.0716658987221308,0.0294943317130674,0.00222095880599227,0.0245726871071383
"2","farmland_medium",0.102706016259617,0.0693116822949378,0.0736114544779412,0.0804608953621937,0.0779378864899627,0.0871593062911415
"2","farmland_high",0.0112913539633155,0.0105362283065915,0.013139191782102,0.0110781425100868,0.014791585454077,0.011255819350481
"2","forest_lowmedium",0.136189192999154,0.0473064194666222,0.0401460494613275,0.0703955115750432,0.0871326509513892,0.12217938026879
"2","forest_high",0.35191535949707,0.412947297096252,0.447771936655045,0.435894250869751,0.456335961818695,0.379517436027527
"2","landscape_div",0.155813578159723,0.150803091324633,0.130388049175963,0.137877117180324,0.134421301911061,0.14045343316684
"21","urban",0.0530403666198254,0.054090267047286,0.0536378249526024,0.0564975049346685,0.0547051280736923,0.0541714746505022
"21","farmland_low",0.122426726855338,0.0912892892956734,0.109700281638652,0.0918171419762075,0.0464567258022726,0.0714977646712214
