"","sci_name_out","intercept","trend_past","sd_past","trend_BAU","sd_BAU","trend_SSP1","sd_SSP1","trend_SSP3","sd_SSP3","trend_nac","sd_nac","trend_nfn","sd_nfn","trend_nfs","sd_nfs","trend_past_signif","sd_past_signif","trend_BAU_signif","sd_BAU_signif","trend_SSP1_signif","sd_SSP1_signif","trend_SSP3_signif","sd_SSP3_signif","trend_nac_signif","sd_nac_signif","trend_nfn_signif","sd_nfn_signif","trend_nfs_signif","sd_nfs_signif","PLS","pressure_removed"
"6594","Psittacula krameri",-2.20219173083087,0.231308178978129,0.0203923898686412,1.65594614191724,0.0785391538210758,1.63766705433158,0.0743775718473211,1.61202841885142,0.0776738738152158,1.63714351903058,0.0767088192271106,1.62857265521057,0.0746178524391387,1.62949942546416,0.0775510019986849,0.209390520699415,0.0151767970697233,1.63402848363853,0.0755723656788908,1.61611783085059,0.0747562632229433,1.60984021002829,0.0729466396379772,1.60870725591593,0.07834979950018,1.6077871140148,0.0734969159656512,1.6063817108352,0.0728338888290783,"europe","year"
"6595","Psittacula krameri",-2.20219173083087,0.273384212775989,0.027738081270502,1.6980221757151,0.0793554734768749,1.68070651982867,0.0748582576104654,1.65831825250668,0.0770887245113279,1.68474334592128,0.0784200747165742,1.6781240148572,0.0784709099115652,1.67540585460157,0.0808363528804258,0.257626317743568,0.0246713661001462,1.68226428068268,0.0796771613484657,1.66435362789475,0.0780321241026349,1.65807600707244,0.0762909029410433,1.65694305296009,0.0799329814337761,1.65602291105895,0.0769036714189421,1.65461750787935,0.0797024376932616,"europe","d_impervious"
"6596","Psittacula krameri",-2.20219173083087,0.249618272197745,0.028677659124239,1.67425623513685,0.078261998643635,1.68296332705509,0.0799810550616803,1.65661940246151,0.0793400800164575,1.67514727964047,0.079293970800585,1.66800602822342,0.0771254832433463,1.66977243749733,0.0798379725571932,0.227700613919031,0.0246060973916237,1.65233857685814,0.0813987935899783,1.6614141035741,0.0778566927318308,1.65443119363838,0.0791578102124569,1.64671101652582,0.0771001406858261,1.64722048702765,0.0731511635184,1.64665472286837,0.0794307921692471,"europe","d_tempsrping"
"6597","Psittacula krameri",-2.20219173083087,0.279933372631843,0.0300448749668086,1.70457133557095,0.0767805162045486,1.68600656448179,0.0792383704494419,1.66113987273889,0.0793698642756403,1.68248646133658,0.0775727131397792,1.67356479184036,0.0777342648980175,1.67476836980679,0.0818928532640256,0.257626317743568,0.0262873001673112,1.68226428068268,0.0784505801391456,1.66435362789475,0.079742874939284,1.65807600707244,0.0768960325417346,1.65694305296009,0.0783633533250682,1.65602291105895,0.0796963577724474,1.65461750787935,0.0754536581564665,"europe","d_tempsrpingvar"
"6598","Psittacula krameri",-2.20219173083087,0.26287139351521,0.0274804749172063,1.68750935645432,0.0810823992517292,1.6713061309493,0.080752011317803,1.64471896133451,0.0804400659344744,1.67113440658403,0.0785828530694059,1.6633628395167,0.0742434254349184,1.66431222421865,0.0783991063843454,0.257626317743568,0.0240161534768661,1.68226428068268,0.0762637647694397,1.66435362789475,0.0785253791511313,1.65807600707244,0.0804769604326983,1.65694305296009,0.0762798000952353,1.65602291105895,0.0764414636942676,1.65461750787935,0.076472761051077,"europe","d_precspring"
"6599","Psittacula krameri",-2.20219173083087,0.276857240702436,0.0282972089732691,1.70149520364155,0.0819167288149458,1.68640040728225,0.0803075819467578,1.65591547981965,0.0822292209203029,1.68348052987964,0.0763350739279352,1.67219937324822,0.0816751964778094,1.67379086343467,0.0765027588526681,0.257626317743568,0.0259376166980218,1.68226428068268,0.0782905027301349,1.66435362789475,0.0793073731449695,1.65807600707244,0.0761277015992404,1.65694305296009,0.0769024153017969,1.65602291105895,0.0782943268661369,1.65461750787935,0.0788788257896221,"europe","d_shannon"
"6600","Psittacula krameri",-2.20219173083087,0.281141972510518,0.0288446175775358,1.70577993544963,0.0825045305424196,1.68056005858232,0.082327707404408,1.66097141196621,0.0809788800735376,1.68775727620414,0.0768184182529065,1.67950109698816,0.077393811493437,1.67965605773087,0.0769349144011681,0.259224314231804,0.0237384448524135,1.68386227717091,0.077464062128235,1.65901083510133,0.0761394493187906,1.65878320314309,0.0791960459715682,1.65932101308949,0.0775521325456759,1.65871555579239,0.0758163118465451,1.65653834310192,0.0753612152439282,"europe","protectedarea_perc"
"6601","Psittacula krameri",-2.20219173083087,0.280348085686827,0.0287485840998931,1.70498604862594,0.0818245596181561,1.68685222574784,0.0782521546607089,1.6611679647996,0.0770846957257811,1.68644814909231,0.0770276703161993,1.67779212579447,0.0777051360131818,1.67872280282916,0.077977328086519,0.257626317743568,0.0243246917533393,1.68226428068268,0.0764096203690904,1.66435362789475,0.0803834125280052,1.65807600707244,0.0753949485080336,1.65694305296009,0.0760870369519487,1.65602291105895,0.0765142503556224,1.65461750787935,0.0746219663232245,"europe","d_treedensity"
"6602","Psittacula krameri",-2.20219173083087,0.282620793459155,0.0293246179279332,1.70725875639827,0.0803865407035776,1.6868449313783,0.0769029984205475,1.6621392169698,0.0812951791728797,1.68563289577769,0.0778982372065496,1.6771473435832,0.0790053840853377,1.67808092957879,0.078771587018414,0.260703135180442,0.0252337950368264,1.68534109811955,0.0762813912331367,1.66529570789731,0.0765441689918671,1.65995100814667,0.0800977573700942,1.65719663266304,0.0748227023690247,1.65636180238743,0.0781131861212631,1.65496321494984,0.0792790433761217,"europe","eulandsystem_forest_lowmedium"
"6603","Psittacula krameri",-2.20219173083087,0.328624622579993,0.0292951016778795,1.46184738047834,0.0726629828297052,1.44356829289268,0.0766914790124074,1.41792965741252,0.0751814695014,1.44304475759168,0.0746119730474539,1.43447389377167,0.0744789848444508,1.43540066402526,0.0741168540993975,0.30670696430128,0.0243745031661515,1.43992972219962,0.0722802211724144,1.42201906941169,0.0758702879502739,1.41574144858939,0.0784364204956045,1.41460849447703,0.0775056401262121,1.4136883525759,0.0758751484613569,1.4122829493963,0.0714376255054715,"europe","eulandsystem_forest_high"
"6604","Psittacula krameri",-2.20219173083087,0.074482702600241,0.0248429649478689,0.523929928035169,0.0372545193041675,0.505650840449513,0.0384358775990179,0.480012204969349,0.0389850183788677,0.505127305148514,0.0375960978776089,0.496556441328499,0.035336400942109,0.497483211582089,0.0357527980183436,0.0525650443215273,0.0223013466055764,0.502012269756455,0.0346091775356035,0.484101616968523,0.0350080475375444,0.47782399614622,0.035280405096628,0.476691042033863,0.0333413044524325,0.47577090013273,0.0343783441388082,0.474365496953133,0.0342744060620256,"europe","d_agri"
"6605","Psittacula krameri",-2.20219173083087,0.285817353301791,0.028875654008984,1.55242329584674,0.0805568599223078,1.53414420826108,0.0768284690773253,1.50850557278092,0.0774351378549826,1.53362067296008,0.0779295558678225,1.52504980914007,0.0784593926398407,1.52597657939366,0.0791510851738336,0.263899695023078,0.0254546708798671,1.53050563756803,0.0775248820089342,1.51259498478009,0.0774678007926268,1.50631736395779,0.0788334829755726,1.50518440984543,0.0750930160918956,1.5042642679443,0.0765053124135871,1.5028588647647,0.0766866775669439,"europe","eulandsystem_farmland_low"
"6606","Psittacula krameri",-2.20219173083087,0.281951892542672,0.0301044357387966,1.70658985548178,0.0820870910455085,1.68259603648357,0.0775850299253078,1.67813655535097,0.0781880004154435,1.67554674051993,0.0799238097310998,1.67502202707561,0.0788481961119607,1.67629350553008,0.0788592618267726,0.257626317743568,0.0243193452929346,1.68226428068268,0.0798014141653947,1.66435362789475,0.0787266699970102,1.65807600707244,0.0781228815838277,1.65694305296009,0.0757769442082857,1.65602291105895,0.0800733150848118,1.65461750787935,0.079302335949844,"europe","eulandsystem_farmland_medium"
